Nome do arquivo: microdados2021_arq24 | Informações: Edição, código de curso e QE18: Qual modalidade de ensino médio você concluiu? | Variáveis: NU_ANO, CO_CURSO, QE_I18
Nome do arquivo: microdados2021_arq25 | Informações: Edição, código de curso e QE19: Quem lhe deu maior incentivo para cursar a graduação? | Variáveis: NU_ANO, CO_CURSO, QE_I19
Nome do arquivo: microdados2021_arq26 | Informações: Edição, código de curso e QE20: Algum dos grupos abaixo foi determinante para você enfrentar dificuldades durante seu curso superior e concluí-lo? | Variáveis: NU_ANO, CO_CURSO, QE_I20
Nome do arquivo: microdados2021_arq27 | Informações: Edição, código de curso e QE21: Alguém em sua família concluiu um curso superior? | Variáveis: NU_ANO, CO_CURSO, QE_I21
Nome do arquivo: microdados2021_arq28 | Informações: Edição, código de curso e QE22: Excetuando-se os livros indicados na bibliografia do seu curso, quantos livros você leu neste ano? | Variáveis: NU_ANO, CO_CURSO, QE_I22
Nome do arquivo: microdados2021_arq29 | Informações: Edição, código de curso e QE23: Quantas horas por semana, aproximadamente, você dedicou aos estudos, excetuando as horas de aula? | Variáveis: NU_ANO, CO_CURSO, QE_I23
Nome do arquivo: microdados2021_arq30 | Informações: Edição, código de curso e QE24: Você teve oportunidade de aprendizado de idioma estrangeiro na Instituição? | Variáveis: NU_ANO, CO_CURSO, QE_I24
Nome do arquivo: microdados2021_arq31 | Informações: Edição, código de curso e QE25: Qual o principal motivo para você ter escolhido este curso? | Variáveis: NU_ANO, CO_CURSO, QE_I25
Nome do arquivo: microdados2021_arq32 | Informações: Edição, código de curso e QE26: Qual a principal razão para você ter escolhido a sua instituição de educação superior? | Variáveis: NU_ANO, CO_CURSO, QE_I26
Nome do arquivo: microdados2017_arq33 | Informações: Edição, código de curso e QE69: Você pretende exercer o magistério após o término do curso? | Variáveis: NU_ANO, CO_CURSO, QE_I69
Nome do arquivo: microdados2017_arq34 | Informações: Edição, código de curso e QE70: Qual a principal razão para você ter escolhido a Licenciatura? | Variáveis: NU_ANO, CO_CURSO, QE_I70
Nome do arquivo: microdados2017_arq35 | Informações: Edição, código de curso e QE71: Você já tem experiência profissional no magistério? Qual a forma de contrato? Assinale a alternativa mais relevante para você. | Variáveis: NU_ANO, CO_CURSO, QE_I71
Nome do arquivo: microdados2017_arq36 | Informações: Edição, código de curso e QE72: Se você tem experiência no magistério, em qual etapa/modalidade atuou? Assinale a alternativa mais relevante para você. | Variáveis: NU_ANO, CO_CURSO, QE_I72
Nome do arquivo: microdados2017_arq37 | Informações: Edição, código de curso e QE73: Em que instituição você realizou seu estágio curricular obrigatório? | Variáveis: NU_ANO, CO_CURSO, QE_I73
Nome do arquivo: microdados2017_arq38 | Informações: Edição, código de curso e QE74: Em qual turno você realizou o estágio curricular obrigatório? | Variáveis: NU_ANO, CO_CURSO, QE_I74
Nome do arquivo: microdados2017_arq39 | Informações: Edição, código de curso e QE75: Em qual etapa/modalidade de ensino você realizou seu estágio curricular obrigatório? | Variáveis: NU_ANO, CO_CURSO, QE_I75
Nome do arquivo: microdados2017_arq40 | Informações: Edição, código de curso e QE76: Quantas horas de estágio curricular obrigatório você integralizou? | Variáveis: NU_ANO, CO_CURSO, QE_I76
Nome do arquivo: microdados2017_arq41 | Informações: Edição, código de curso e QE77: Onde você pretende atuar daqui a cinco anos? | Variáveis: NU_ANO, CO_CURSO, QE_I77
Nome do arquivo: microdados2017_arq42 | Informações: Edição, código de curso e questões de licenciatura referentes à opinião do estudante quanto ao curso | Variáveis: NU_ANO, CO_CURSO, QE_I78, QE_I79, QE_I80 e QE_I81
Nome do arquivo: microdados2017_arq43 | Informações: Edição, código de curso e Questionário Complementar - Pandemia | Variáveis: NU_ANO, CO_CURSO, QE_I82, QE_I83, QE_I84, QE_I85, QE_I86, QE_I87, QE_I88, QE_I89, QE_I90, QE_I91, QE_I92
